"Month","Australian monthly production of plastics in primary. Mar 1988 ? Aug 1995"
"1988-01",91700
"1988-02",82800
"1988-03",82300
"1988-04",87400
"1988-05",88000
"1988-06",88735
"1988-07",87587
"1988-08",89677
"1988-09",82975
"1988-10",72590
"1988-11",76977
"1988-12",73146
"1989-01",71924
"1989-02",80868
"1989-03",88288
"1989-04",85569
"1989-05",76252
"1989-06",88951
"1989-07",88923
"1989-08",94461
"1989-09",89092
"1989-10",72013
"1989-11",73888
"1989-12",71851
"1990-01",77556
"1990-02",83336
"1990-03",83776
"1990-04",75891
"1990-05",85167
"1990-06",84050
"1990-07",72558
"1990-08",88615
"1990-09",74504
"1990-10",70673
"1990-11",67103
"1990-12",80385
"1991-01",74428
"1991-02",84274
"1991-03",85745
"1991-04",78873
"1991-05",88320
"1991-06",82446
"1991-07",83859
"1991-08",94645
"1991-09",89546
"1991-10",78782
"1991-11",79043
"1991-12",84102
"1992-01",89882
"1992-02",79673
"1992-03",72937
"1992-04",79100
"1992-05",86400
"1992-06",84800
"1992-07",92700
"1992-08",92100
"1992-09",89500
"1992-10",83200
"1992-11",72100
"1992-12",78100
"1993-01",88900
"1993-02",79300
"1993-03",85900
"1993-04",87500
"1993-05",94800
"1993-06",94800
"1993-07",95700
"1993-08",95200
"1993-09",89900
"1993-10",83935
"1993-11",82207
"1993-12",95372
"1994-01",105134
"1994-02",100327
"1994-03",86078
"1994-04",101000
"1994-05",105400
"1994-06",113700
"1994-07",103600
"1994-08",109400
"1994-09",102000
"1994-10",95000
"1994-11",96000
"1994-12",99000
"1995-01",113000
"1995-02",99000
"1995-03",100000
"1995-04",104000
"1995-05",116000
"1995-06",110000
