"Month","One month return on U.S. treasury bills, April 1963 to July 1971"
"1963-04",0.002
"1963-05",0.002
"1963-06",0.002
"1963-07",0.003
"1963-08",0.003
"1963-09",0.003
"1963-10",0.003
"1963-11",0.003
"1963-12",0.002
"1964-01",0.003
"1964-02",0.003
"1964-03",0.003
"1964-04",0.003
"1964-05",0.003
"1964-06",0.003
"1964-07",0.003
"1964-08",0.003
"1964-09",0.003
"1964-10",0.003
"1964-11",0.003
"1964-12",0.003
"1965-01",0.003
"1965-02",0.003
"1965-03",0.003
"1965-04",0.003
"1965-05",0.003
"1965-06",0.003
"1965-07",0.003
"1965-08",0.003
"1965-09",0.003
"1965-10",0.003
"1965-11",0.003
"1965-12",0.003
"1966-01",0.004
"1966-02",0.004
"1966-03",0.004
"1966-04",0.004
"1966-05",0.004
"1966-06",0.004
"1966-07",0.004
"1966-08",0.004
"1966-09",0.004
"1966-10",0.004
"1966-11",0.004
"1966-12",0.003
"1967-01",0.004
"1967-02",0.004
"1967-03",0.004
"1967-04",0.003
"1967-05",0.003
"1967-06",0.003
"1967-07",0.003
"1967-08",0.003
"1967-09",0.003
"1967-10",0.003
"1967-11",0.003
"1967-12",0.004
"1968-01",0.004
"1968-02",0.004
"1968-03",0.004
"1968-04",0.004
"1968-05",0.004
"1968-06",0.005
"1968-07",0.004
"1968-08",0.004
"1968-09",0.004
"1968-10",0.004
"1968-11",0.005
"1968-12",0.004
"1969-01",0.005
"1969-02",0.005
"1969-03",0.005
"1969-04",0.004
"1969-05",0.005
"1969-06",0.005
"1969-07",0.005
"1969-08",0.006
"1969-09",0.006
"1969-10",0.006
"1969-11",0.005
"1969-12",0.005
"1970-01",0.005
"1970-02",0.006
"1970-03",0.005
"1970-04",0.005
"1970-05",0.005
"1970-06",0.005
"1970-07",0.005
"1970-08",0.005
"1970-09",0.005
"1970-10",0.005
"1970-11",0.004
"1970-12",0.004
"1971-01",0.004
"1971-02",0.003
"1971-03",0.003
"1971-04",0.003
"1971-05",0.003
"1971-06",0.003
"1971-07",0.004

One month return on U.S. treasury bills, April 1963 to July 1971

