"Week","Weekly closing price of AT&T common shares 1979"
"0001-W-99136",61
"0001-W-99135",61.63
"0001-W-99134",61
"0001-W-99133",64
"0001-W-99132",63.75
"0001-W-99131",63.38
"0001-W-99130",63.88
"0001-W-99129",61.88
"0001-W-99128",61.5
"0001-W-99127",61.63
"0001-W-99126",62.13
"0001-W-99125",61.63
"0001-W-99124",61
"0001-W-99123",61.88
"0001-W-99122",61.63
"0001-W-99121",59.63
"0001-W-99120",58.75
"0001-W-99119",58.75
"0001-W-99118",58.25
"0001-W-99117",58.5
"0001-W-99116",57.75
"0001-W-99115",57.13
"0001-W-99114",57.75
"0001-W-99113",58.88
"0001-W-99112",58
"0001-W-99111",57.88
"0001-W-99110",58
"0001-W-99109",57.13
"0001-W-99108",57.25
"0001-W-99107",57.38
"0001-W-99106",57.13
"0001-W-99105",57.5
"0001-W-99104",58.38
"0001-W-99103",58.13
"0001-W-99102",56.63
"0001-W-99101",56.25
"0001-W-99100",56.25
"0001-W-99099",55.13
"0001-W-99098",55
"0001-W-99097",55.13
"0001-W-99096",53
"0001-W-99095",52.38
"0001-W-99094",52.88
"0001-W-99093",53.5
"0001-W-99092",53.38
"0001-W-99091",53.38
"0001-W-99090",53.5
"0001-W-99089",53.75
"0001-W-99088",54
"0001-W-99087",53.13
"0001-W-99086",51.88
"0001-W-99085",52.25

Weekly closing price of AT&T common shares 1979

